last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Leon, Sandy,506702,111,BOS,C,30,16,,23.6
Sucre, Jesus,491696,110,BAL,C,31,23,4.98,23.6
Castillo, Welington,456078,145,CWS,C,32,28,5.00,23.5
Morales, Kendrys,434778,147,NYY,1B,36,65,5.04,23.4
Aguilar, Jesus,542583,158,MIL,1B,29,47,4.97,23.2
Alonso, Yonder,475174,145,CWS,DH,32,61,5.01,23.2
Smoak, Justin,475253,141,TOR,1B,33,53,,23.1
Ramos, Wilson,467092,121,NYM,C,32,98,5.05,22.9
Molina, Yadier,425877,138,STL,C,37,82,,22.8
Allen, Austin,664119,135,SD,C,25,15,,22.7
Pujols, Albert,405395,108,LAA,1B,39,68,5.10,22.7
McCann, Brian,435263,144,ATL,C,35,45,5.01,22.4
