last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Hicks, Aaron,543305,2019,255,152,.235,.208,.027,.443,.374,.069,.329,.299,.030
Shaw, Travis,543768,2019,253,136,.151,.177,-.026,.257,.314,-.057,.238,.270,-.032
Moore, Dylan,664238,2019,253,140,.214,.196,.018,.400,.332,.068,.311,.284,.027
Hampson, Garrett,641658,2019,252,158,.214,.211,.003,.319,.276,.043,.257,.246,.011
Holt, Brock,571788,2019,250,176,.314,.267,.047,.427,.367,.060,.350,.319,.031
Kemp, Tony,643393,2019,250,183,.207,.202,.005,.360,.281,.079,.274,.252,.022
Camargo, Johan,622666,2019,248,190,.233,.246,-.013,.384,.354,.030,.282,.280,.002
Castro, Jason,488771,2019,248,141,.241,.250,-.009,.449,.509,-.060,.336,.365,-.029
Murphy, Tom,608596,2019,245,152,.276,.208,.068,.556,.419,.137,.360,.285,.075
Flores, Wilmer,527038,2019,244,203,.313,.278,.035,.485,.426,.059,.359,.326,.033
Mathis, Jeff,425772,2019,244,142,.158,.161,-.003,.224,.218,.006,.192,.195,-.003
McKinney, Billy,641856,2019,241,162,.213,.223,-.010,.407,.349,.058,.285,.274,.011
Vogt, Stephen,519390,2019,240,166,.269,.251,.018,.507,.479,.028,.346,.335,.011
Beaty, Matt,607461,2019,239,196,.287,.290,-.003,.498,.445,.053,.350,.337,.013
Barnes, Austin,605131,2019,239,156,.201,.193,.008,.340,.293,.047,.274,.257,.017
Adrianza, Ehire,501303,2019,235,167,.272,.259,.013,.416,.376,.040,.329,.320,.009
Mercer, Jordy,474568,2019,232,173,.273,.269,.004,.441,.450,-.009,.319,.326,-.007
Luplow, Jordan,656669,2019,231,149,.277,.245,.032,.525,.434,.091,.376,.337,.039
Naylor, Josh,647304,2019,230,160,.249,.236,.013,.407,.368,.039,.309,.295,.014
Martin, Russell,431145,2019,230,140,.220,.222,-.002,.335,.347,-.012,.302,.311,-.009
Inciarte, Ender,542255,2019,230,159,.246,.232,.014,.397,.312,.085,.321,.292,.029
Prado, Martin,445988,2019,229,182,.242,.251,-.009,.293,.313,-.020,.249,.267,-.018
Russell, Addison,608365,2019,229,151,.227,.212,.015,.389,.336,.053,.297,.281,.016
Broxton, Keon,542979,2019,228,103,.167,.163,.004,.275,.271,.004,.231,.231,.000
Caratini, Victor,605170,2019,228,151,.275,.267,.008,.455,.438,.017,.351,.350,.001
Castillo, Welington,456078,2019,228,142,.202,.212,-.010,.385,.396,-.011,.281,.295,-.014
Lugo, Dawel,608475,2019,228,171,.241,.253,-.012,.366,.361,.005,.270,.283,-.013
Beckham, Gordon,493596,2019,227,145,.219,.223,-.004,.371,.376,-.005,.281,.289,-.008
Maybin, Cameron,457727,2019,226,140,.287,.253,.034,.480,.433,.047,.361,.334,.027
Perez, Hernan,541650,2019,226,154,.239,.220,.019,.390,.328,.062,.284,.258,.026
Allen, Greg,656185,2019,225,160,.233,.240,-.007,.361,.352,.009,.284,.292,-.008
Cordell, Ryan,641477,2019,225,143,.224,.212,.012,.353,.339,.014,.273,.265,.008
Locastro, Tim,641796,2019,224,153,.250,.238,.012,.340,.300,.040,.320,.305,.015
Berti, Jon,542932,2019,222,141,.258,.264,-.006,.423,.393,.030,.335,.332,.003
Mejia, Francisco,642336,2019,222,157,.263,.230,.033,.439,.376,.063,.321,.289,.032
Heredia, Guillermo,628338,2019,221,142,.227,.248,-.021,.356,.340,.016,.294,.305,-.011
VanMeter, Josh,642165,2019,221,148,.246,.246,.000,.410,.393,.017,.321,.319,.002
Frazier, Clint,640449,2019,220,142,.274,.247,.027,.493,.438,.055,.342,.316,.026
Robertson, Daniel,621002,2019,219,135,.216,.213,.003,.305,.291,.014,.284,.281,.003
Osuna, Jose,591741,2019,217,164,.261,.263,-.002,.503,.458,.045,.337,.331,.006
Reyes, Victor,622682,2019,216,156,.309,.281,.028,.422,.364,.058,.328,.299,.029
Solano, Donovan,456781,2019,214,158,.327,.311,.016,.446,.442,.004,.343,.341,.002
Wendle, Joey,621563,2019,211,157,.236,.254,-.018,.340,.325,.015,.277,.285,-.008
Casali, Curt,592200,2019,208,133,.251,.228,.023,.410,.375,.035,.316,.302,.014
Nola, Austin,543592,2019,207,137,.268,.225,.043,.475,.357,.118,.349,.296,.053
Brinson, Lewis,621446,2019,205,132,.181,.210,-.029,.239,.301,-.062,.214,.251,-.037
Romine, Austin,519222,2019,204,153,.275,.255,.020,.435,.409,.026,.315,.301,.014
Ervin, Phillip,640447,2019,203,134,.292,.233,.059,.524,.367,.157,.371,.295,.076
Morales, Kendrys,434778,2019,201,145,.194,.273,-.079,.253,.435,-.182,.265,.366,-.101
Diaz, Aledmys,649557,2019,201,154,.260,.261,-.001,.445,.399,.046,.329,.327,.002
Hechavarria, Adeiny,588751,2019,200,141,.217,.217,.000,.375,.347,.028,.281,.277,.004
Joyce, Matt,459964,2019,200,129,.290,.261,.029,.473,.424,.049,.378,.353,.025
